162,461,26487-60,13.200,Ton,,1920.00,,575.00,,,,
163,462,26486-60,5.460,Ton,,895.00,,264.00,,,,
164,463,19969-60,244.818,Tons,,,,,,,,
165,464,21824-60,150.000,Ton,,365.00,,126.00,,,,
166,474,19969-60,178.360,Ton,,355.00,,129.00,,,,
167,475,26287-60,15.600,Ton,,790.00,,257.00,256.00,,,
168,476,26382-60,5.000,Ton,,1510.00,,474.00,463.00,,,
169,477,19969-60,83.470,Ton,,385.00,,,,,,
170,478,19969-60,145.181,Ton,,,,,,,,
171,479,19969-60,62.568,Ton,,,,,,,,
172,480,19969-60,62.568,Ton,,375.00,,,,,,
173,481,19969-60,145.181,Ton,,375.00,,,,,,
174,482,19969-60,162.060,Ton,,375.00,,,,,,
175,483,19969-60,40.481,Ton,,375.00,,,,,,
176,484,16784-60,1400.000,Pcs,,4.74,,,,,,
177,485,16781-60,3857.000,Pcs,,5.70,,,,,,
178,486,16878-60,630.000,Pcs,,8.65,,,,,,
179,487,25655-60,3000.000,Pcs,,10.76,,,,,,
180,488,25656-60,3000.000,Pcs,,7.89,,,,,,
181,489,19969-60,202.741,Ton,,,,,,,,
182,490,19969-60,41.389,Ton,,,,,,,,
183,518,19969-60,81.098,Ton,,440.00,,152.00,,,,
184,519,19969-60,68.830,Ton,,440.00,,152.00,,,,
185,520,19969-60,20.717,Ton,,440.00,,152.00,,,,
186,528,26287-60,48000.000,Kgs,,0.65,,235.00,,,,
187,536,26487-60,4800.000,Kgs,,0.65,,235.00,,,,
188,537,26382-60,3000.000,Kgs,,1.42,,499.00,,,,
189,538,26382-60,3900.000,Kgs,,1.42,,499.00,,,,
190,539,26838-60,11500.000,Kgs,,1.20,,423.00,,,,
191,540,26487-60,3240.000,Kg,,1.95,,,,,,
192,541,2847-60,5000.000,Kg,,0.17,,211.00,,,,
193,545,19969-60,122.469,Tons,,,,,,,,
194,546,19969-60,21.250,Tons,,,,,,,,
195,547,19969-60,81.116,Tons,,,,,,,,
196,548,19969-60,20.481,Tons,,,,,,,,
197,549,19969-60,124.380,Tons,,,,,,,,
198,550,23562-60,53.480,Ton,,490.00,,168.00,,,,
199,556,24612-60,12000.000,Kgs,,0.64,,242.00,,,,
200,561,19969-60,206.352,Ton,,377.00,,133.00,,,,
201,562,19969-60,80.781,Ton,,377.00,,133.00,,,,
202,563,19969-60,62.867,Ton,,377.00,,133.00,,,,
203,564,19969-60,40.636,Ton,,377.00,,133.00,,,,
204,565,19969-60,98.600,Ton,,377.00,,133.00,,,,
205,567,26287-60,21.600,Ton,,770.00,,247.00,241.00,,2026-06-12,76.0
206,571,2823-60,5.000,Ton,,715.00,,280.00,242.00,,,
207,572,15198-60,3000.000,Pcs,,0.75,,386.00,321.00,,,
208,584,26135-60,1.000,Pcs,,1739.00,,619267.00,540766.00,,,
209,590,26876-60,1152.000,Pcs,,3.08,,1233.00,,,,
210,591,19550-60,2.000,Pcs,,600.00,,220268.00,,,,
211,614,2823-60,0.025,Kgs,,899.85,,,,,,
212,620,6939-60,3.000,Ton,,625.00,,253.00,,,,
213,621,14090-60,1000.000,Pcs,,1.41,,573.00,,,,
214,622,24927-60,200.000,Pcs,,4.50,,1502.00,,,,
215,625,2825-156,23.000,Ton,,1035.00,,322.00,,,,
